Song_artist,Song_duration_weeks,Song_isNew,Song_last_week,Song_peak,Song_rank,Song_title,categoryId,channelId,channelTitle,commentCount,dislikeCount,favoriteCount,likeCount,title,videoId,viewCount
Lil Pump,5,FALSE,53,24,58,Esskeetit,10,UC6pjHMC4QXMi4llCCjtDXWg,Lil pump,414399,440314,0,4413033,"Lil Pump - ""ESSKEETIT"" (Official Music Video)",DPxL7dO5XPc,364990112
Dua Lipa,18,FALSE,61,54,59,IDGAF,10,UC-J-KZfRV8c13fOCkhXdLiQ,Dua Lipa,117114,131750,0,3489611,Dua Lipa - IDGAF (Official Music Video),Mgfe5tIwOj0,448599221
Post Malone Featuring Swae Lee,3,FALSE,51,15,60,Spoil My Night,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Lauv,14,FALSE,72,61,61,I Like Me Better,10,UCfLdIEPs1tYj4ieEdJnyNyw,Lauv,23151,20046,0,934940,Lauv - I Like Me Better [Official Audio],a7fzkqLozwA,125678564
Morgan Wallen Featuring Florida Georgia Line,8,FALSE,71,62,62,Up Down,10,UCiQtJ9wVv8R-x7GKHzgZu8A,MorganWallenVEVO,4525,18467,0,183314,Morgan Wallen - Up Down ft. Florida Georgia Line,77qc4ZtufzM,52720130
J. Cole,4,FALSE,56,6,63,ATM,10,UCnzJFckvQBA5nn9lMu08LWQ,JColeVEVO,54189,49057,0,787844,J. Cole - ATM (Official Music Video),vUTI4bPdlgE,60803421
Kenny Chesney,6,FALSE,70,64,64,Get Along,10,UCB1W3WXbDmsEG_hQLxYALgg,Kenny Chesney,1389,4733,0,50765,"Kenny Chesney - ""Get Along"" (Official Music Video)",#NAME?,17152937
Post Malone,3,FALSE,45,17,65,Stay,10,UC2xskkQVFEpLcGFnNSLQY0A,RihannaVEVO,147686,150016,0,2925543,Rihanna - Stay ft. Mikky Ekko,JF8BRvqGCNs,753017860
"Khalid, Ty Dolla $ign & 6LACK",4,FALSE,82,57,66,OTW,10,UCcN-NDV03eHs6oLd1pe2r8w,KhalidVEVO,8279,22475,0,506822,"Khalid - OTW ft. 6LACK, Ty Dolla $ign (Official Audio)",hjf-h6NMj7U,99473451
Meghan Trainor,11,FALSE,59,46,67,No Excuses,10,UCf3cbfAXgPFL6OywH7JwOzA,MeghanTrainorVEVO,39012,51381,0,712026,Meghan Trainor - No Excuses (Official Music Video),kton-qrKNLc,69323486
J. Cole,4,FALSE,57,8,68,Kevin's Heart,10,UCnc6db-y3IU7CkT_yeVXdVg,J. Cole,30866,15932,0,594381,J. Cole - Kevin's Heart,ufynqs_COF4,34970258
Cardi B Featuring Migos,6,FALSE,62,21,69,Drip,22,UCxMAbVFmxKUVGAll0WVGpFw,Cardi B,28283,35492,0,564281,Cardi B - Drip feat. Migos [Official Audio],H4Hb6HcCm_E,63463474
Blake Shelton,11,FALSE,85,66,70,I Lived It,10,UC9nxc-xiH1AnL9RGstfgurg,Blake Shelton,5337,9307,0,142155,"Blake Shelton - ""I Lived It"" (Official Music Video)",i_nLsG_asQg,36138083
Darius Rucker,8,FALSE,76,71,71,For The First Time,10,UCafVZzwtU8XUWbXGs4LYtdg,TheScriptVEVO,11961,4331,0,218179,The Script - For The First Time (Official Video) (HD Version),CPEBN2dVNUY,50226650
Foster The People,9,FALSE,83,72,72,Sit Next To Me,10,UC-lkm1huv9jCUH28E7cKmew,fosterthepeopleVEVO,74,17,0,592,Foster The People - Sit Next to Me (Live from Dick Clark's New Year's Rockin' Eve),ImAOeDxhw2o,7370
Rich The Kid Featuring Kendrick Lamar,16,FALSE,68,41,73,New Freezer,10,UCtIRTYF5sClodKfeNtA1jCA,RichTheKidVEVO,24985,28958,0,811759,Rich The Kid - New Freezer ft. Kendrick Lamar,6YqSS_b_X1U,79557600
Juice WRLD,0,TRUE,0,74,74,Lucid Dreams,10,UCi0LydWaEUy3Vx8flL29ebQ,SyrebralVibes,51030,25119,0,602107,Juice Wrld - Lucid Dreams (Lyrics),_fh64GbFSw4,86965510
Luke Bryan,16,FALSE,73,43,75,Most People Are Good,10,UCteMJzhMoMh1-WN6d2u6NEg,LukeBryanVEVO,2843,3603,0,73928,Luke Bryan - Most People Are Good (Lyric Video),liqktLC7xR0,11770792
Bad Wolves,10,FALSE,79,54,76,Zombie,10,UCqh8RdUfSR9lGyasBhM_bjA,E7M,48375,72017,0,1383013,Bad Wolves - Zombie (Official Video),9XaS93WMRQQ,182057639
